Glottocode	GB070	GB131	GB132	GB133	GB136
abun1252	0	0	1	0	1
area1240	1	0	1	0	0
axam1237	0	0	1	0	1
cash1251	1	0	0	1	0
chuk1273	1	0	0	1	0
ersu1241	1	0	0	1	0
esto1258	1	0	1	0	1
finn1318	1	0	1	0	1
gahr1239	1	0	0	1	0
ingr1248	1	0	1	0	1
kemb1249	0	0	1	0	1
lena1238	0	0	1	0	1
livv1243	1	0	1	0	1
lule1254	1	0	1	0	0
mand1415	0	0	1	0	0
mode1248	1	0	1	0	0
moks1248	1	0	1	0	0
motl1237	0	0	1	0	1
nana1257	1	0	0	1	0
nenn1238	1	0	0	1	0
noct1238	0	0	0	1	0
nucl1301	1	0	0	1	1
panj1256	1	0	0	1	0
pite1240	1	0	1	0	0
poli1260	1	0	1	0	0
seme1247	1	1	1	0	0
sout2674	1	0	0	1	0
stan1290	0	0	1	0	1
stan1293	0	0	1	0	1
supy1237	0	0	0	1	1
tami1289	1	0	0	1	0
tojo1241	0	1	0	0	1
kare1335	1	0	1	0	1
west2519	0	1	0	0	0
west2418	1	0	0	1	0
wutu1241	0	0	0	1	0
agob1244	1	0	0	1	0
apma1240	0	0	1	0	1
arak1252	0	0	1	0	1
aton1241	1	0	0	1	0
cent2127	1	0	1	0	0
cosa1234	0	0	0	1	0
faro1244	1	0	1	0	1
kaya1315	0	0	1	0	1
kxoe1243	0	1	1	1	0
lezg1247	1	0	0	1	0
mana1298	1	0	0	1	0
matu1261	0	0	0	1	0
maun1240	0	1	1	1	0
ngan1291	1	0	0	1	0
nort2747	0	0	1	0	1
nort2942	0	0	0	1	1
nucl1622	0	0	0	1	0
pahn1237	0	0	1	0	0
pela1242	0	0	0	1	0
sout2959	0	0	0	1	1
tibe1272	1	0	0	1	0
udih1248	1	0	0	1	0
vure1239	0	0	1	0	1
yami1254	1	1	1	0	0
arao1248	1	0	0	1	0
ashe1272	0	1	0	0	0
baim1244	0	0	0	1	0
balu1257	0	0	1	0	1
bola1250	0	0	1	0	1
chip1261	0	0	0	1	1
chuv1255	1	0	0	1	1
dzao1238	0	0	1	0	0
emai1241	0	0	1	0	1
enuu1235	0	0	0	1	1
fore1265	1	0	0	1	1
gayo1244	0	1	1	0	0
geba1237	0	0	1	0	1
halk1245	0	1	0	0	0
hoaa1235	0	0	1	0	1
ital1282	0	0	1	0	1
kenu1236	1	0	0	1	0
sout2728	1	0	0	1	0
mila1245	1	0	0	1	0
nort2690	1	0	0	1	1
nucl1643	1	0	0	1	0
oriy1255	1	0	0	1	0
rapa1245	0	1	0	0	0
russ1263	1	0	1	1	0
samo1305	0	1	0	0	0
stan1289	0	0	1	0	1
thak1245	1	0	0	1	0
toab1237	0	0	1	0	1
tsix1234	1	0	0	1	0
sout2679	1	0	1	0	1
wola1242	1	0	0	1	1
youn1235	0	0	1	0	0
zaye1235	0	0	1	0	1
achi1257	0	0	1	0	1
aheu1239	0	0	1	0	0
alab1254	1	0	0	1	0
aleu1260	1	0	0	1	1
crow1244	0	0	0	1	0
lisu1250	0	0	0	1	0
futu1245	0	1	1	0	1
gali1258	0	0	1	0	1
imba1240	1	0	0	1	0
isco1239	1	0	1	1	0
kumb1268	1	0	0	1	1
lipo1242	0	0	0	1	0
ludi1246	1	0	1	0	1
mala1464	1	0	0	1	0
mang1381	1	0	1	1	0
meke1243	0	0	0	1	0
miju1243	0	0	0	1	0
mwag1236	0	0	1	0	1
njan1240	0	0	1	0	1
nyah1250	0	0	1	0	0
port1283	0	0	1	0	1
saar1237	0	1	0	0	1
seim1238	0	0	1	0	1
shos1248	1	0	0	1	1
sina1266	0	0	0	1	0
sing1264	1	0	0	1	0
skol1241	1	0	0	1	0
slov1268	1	0	1	0	0
tika1246	0	0	1	0	1
tuwa1243	0	1	0	0	1
unua1237	0	0	1	0	1
wara1294	1	0	0	1	0
wuch1236	0	0	1	0	0
wusa1235	0	0	0	1	1
yoga1237	0	1	0	0	1
youl1235	0	0	0	1	0
acha1249	0	0	0	1	0
bell1243	0	1	0	0	1
biao1254	0	0	1	0	0
buga1250	0	0	1	0	1
buwa1243	0	0	1	0	1
cube1242	1	0	1	0	0
czec1258	1	0	1	0	0
daas1238	1	0	0	1	0
guan1266	1	0	0	1	0
gunw1252	0	1	1	1	0
hual1241	1	0	0	1	0
iatm1242	1	0	0	1	1
kamm1249	0	0	1	0	1
koro1298	0	0	1	0	1
kwai1243	0	0	1	0	1
lith1251	1	0	1	1	0
mana1288	1	0	0	1	0
maor1246	0	1	0	0	1
maru1249	0	0	0	1	0
nese1235	1	0	1	0	1
nort2684	0	0	1	0	0
nort2745	1	0	0	1	0
nucl1302	1	0	1	1	0
nucl1305	1	0	0	1	0
kuma1276	0	1	0	0	0
ruka1240	0	1	0	0	0
sout2956	0	0	0	1	0
tuwu1238	0	0	1	0	1
vera1241	0	0	1	0	1
woii1237	0	0	1	0	1
anuu1241	0	0	1	0	1
bafu1246	0	0	1	0	1
bela1254	1	0	1	0	0
buga1247	0	0	1	0	1
cahu1264	1	0	0	1	1
cent1992	1	0	1	0	1
choc1276	1	0	0	1	1
digo1243	0	0	1	0	0
east2773	1	0	0	1	1
erzy1239	1	0	1	0	1
east2328	1	0	0	1	1
gyel1242	0	0	1	0	1
hadz1240	0	1	1	1	0
koko1269	0	1	0	0	0
kunb1251	0	0	1	0	0
lomb1257	0	0	1	0	0
mapu1245	0	0	1	0	0
mara1378	1	0	0	1	0
mund1325	1	0	1	0	1
nene1249	1	0	0	1	0
nort2732	0	0	0	1	1
nucl1310	1	0	0	1	1
miya1259	1	0	0	1	0
onon1246	0	0	0	0	0
otta1242	0	1	0	0	0
even1259	1	0	0	1	0
selk1253	1	0	0	1	0
stan1306	0	0	1	0	1
tern1247	0	0	1	0	1
toba1268	0	1	0	0	0
west2396	0	0	1	0	1
yaku1245	1	0	0	1	1
biao1256	0	0	1	0	0
bret1244	0	1	0	0	0
dege1246	0	0	1	0	1
dhao1237	0	0	1	0	0
east2342	0	0	1	0	1
esee1248	1	0	0	1	0
fonn1241	0	0	1	0	0
hadi1240	1	0	0	1	1
hung1274	1	0	0	1	0
iris1253	0	1	1	0	0
hela1238	1	0	0	1	1
lewo1244	0	0	1	0	0
malo1243	1	0	1	0	1
mual1241	0	0	1	0	0
nort2885	1	1	0	0	0
nort2961	0	1	1	1	0
puri1258	1	0	0	1	0
shab1252	1	0	0	1	0
sich1238	0	0	0	1	1
wall1257	0	1	0	0	0
wamb1257	1	0	0	1	0
west2516	0	1	0	0	1
xamt1239	1	0	0	1	1
xara1244	0	0	1	0	1
yuca1254	0	1	0	0	1
zarm1239	0	0	1	1	0
abkh1244	0	0	1	1	1
afar1241	1	0	0	1	0
arap1274	0	1	1	0	0
basq1248	1	0	0	1	0
chak1270	1	0	0	1	1
cham1312	0	1	0	0	0
coca1259	0	0	1	0	1
gaga1249	1	0	1	1	0
gheg1238	1	0	1	0	1
iban1264	0	0	1	0	1
itza1241	0	1	0	0	1
kach1284	1	0	0	1	1
kesa1244	1	0	0	1	0
kile1243	1	0	0	1	1
kimm1245	0	0	1	0	0
kinn1249	1	0	0	1	1
kosr1238	0	0	1	0	1
lash1243	0	0	0	1	1
maee1241	0	0	1	0	1
male1297	0	0	0	1	1
masa1322	0	0	1	0	1
ngal1292	1	0	0	1	0
niva1238	0	1	0	0	1
noon1242	0	0	1	0	1
nort2697	1	0	0	1	1
nucl1235	1	0	1	1	0
nucl1417	0	0	1	0	1
paco1243	0	0	1	0	0
papa1265	0	0	1	1	0
popt1235	0	1	0	0	1
sais1237	1	0	1	0	0
tahi1242	0	1	0	0	1
tiri1258	1	1	0	0	0
trio1238	0	0	1	0	1
urip1239	0	0	1	0	0
veps1250	1	0	1	0	0
wand1278	0	0	1	0	0
wawa1246	0	0	1	0	1
west2594	1	0	0	1	0
yaul1241	0	0	0	1	1
aoua1234	0	0	1	0	1
bisu1244	0	0	0	1	1
burj1242	1	0	0	1	1
cent2314	0	0	1	0	1
daka1243	0	0	1	0	1
dima1251	1	0	0	1	0
dutc1256	0	0	1	0	1
east2447	0	0	1	0	0
fiji1243	0	0	1	0	0
haaa1252	0	0	1	0	0
here1253	0	0	1	0	1
hind1269	1	0	0	1	1
juku1254	1	0	1	0	1
keoo1238	0	0	1	0	1
khan1278	0	0	1	0	1
kili1267	0	1	0	0	1
lala1268	0	0	0	1	1
lumu1239	0	0	1	0	1
mace1250	1	0	1	0	0
miya1266	0	0	0	1	1
mpad1242	0	0	1	0	1
nort2722	1	0	0	1	1
occi1239	0	0	1	0	1
patp1243	0	0	1	0	1
saka1289	0	0	1	0	1
soch1239	0	1	0	0	0
sout1528	1	0	1	0	1
taul1251	0	0	1	0	0
bumt1240	1	0	0	1	0
west2354	0	0	1	0	1
yaki1237	0	1	1	1	0
dusn1237	0	0	1	0	1
fili1244	0	1	0	0	1
hani1248	0	0	0	1	1
high1276	0	1	0	0	1
kagu1239	0	0	1	0	1
kats1235	0	0	0	1	0
komi1268	1	0	1	0	0
kwar1239	0	0	1	0	1
lolo1259	0	0	0	1	0
mudu1242	0	0	1	0	1
munc1235	0	0	0	1	1
paas1238	0	0	1	0	1
sela1259	0	0	1	0	1
sout2729	0	0	0	1	1
sout2994	1	0	0	1	1
sout2996	1	0	0	1	0
surg1248	0	0	0	1	1
tama1365	1	1	0	0	1
tief1244	0	0	1	0	1
waim1251	0	0	0	1	0
akoo1248	0	0	1	0	1
aona1235	1	0	0	1	0
assi1247	0	0	0	1	1
bulo1242	0	0	1	0	0
cent2322	1	0	0	1	1
minn1241	0	0	1	0	1
cree1270	1	0	0	1	1
dhim1246	0	0	0	1	1
halh1238	1	0	0	1	1
idii1243	1	0	0	1	0
japh1234	0	0	0	1	0
kore1280	1	0	0	1	0
litz1237	0	0	1	0	1
loni1238	0	0	1	0	1
luok1236	0	0	1	0	0
madi1260	0	0	1	1	1
mail1248	0	0	1	0	1
mezq1235	0	0	1	0	0
mina1276	0	0	1	0	1
moba1244	0	0	1	0	1
mpur1239	0	0	1	0	1
nava1243	0	0	0	1	1
nyan1307	0	0	1	0	0
para1301	0	1	1	0	1
pend1242	1	0	1	0	0
rong1264	1	0	0	1	1
savo1255	1	0	0	1	1
situ1238	0	0	0	1	0
tson1249	0	0	1	0	1
urim1252	0	0	1	0	0
wara1303	0	0	1	0	1
west2466	0	0	0	1	1
yatz1235	0	1	0	0	0
yawu1244	1	0	1	0	0
adan1251	0	0	0	1	0
argo1244	1	0	0	1	1
arta1239	1	1	0	0	0
bebe1248	0	0	1	0	0
boro1282	0	0	0	1	0
bush1247	0	0	1	0	1
carn1240	0	1	0	0	1
cher1273	0	0	0	0	0
chug1252	1	0	0	1	0
djam1255	1	1	1	1	0
eipo1242	0	0	0	1	0
gang1266	1	0	0	1	1
icel1247	1	0	1	0	0
irar1238	0	0	1	0	1
kado1242	0	0	0	1	1
kaik1246	1	0	0	1	0
kash1277	1	0	1	0	0
kham1282	1	0	0	1	1
kuku1273	1	0	0	1	0
kyer1238	1	0	0	1	0
latv1249	1	0	1	0	0
marg1265	0	0	1	0	1
mart1255	1	0	1	0	1
mund1328	0	0	1	0	1
nort2954	1	0	0	1	1
oksa1245	1	0	0	1	0
pala1344	0	1	0	0	1
pile1238	0	0	1	0	1
quer1236	0	0	1	0	1
ruch1235	0	0	1	0	1
sand1278	0	1	0	0	1
sanm1295	0	1	0	0	0
hopi1249	1	0	0	1	1
sout2807	0	0	1	0	1
taji1246	0	1	1	0	0
thad1238	1	0	0	1	0
toho1245	0	1	1	1	0
toor1238	0	0	1	0	1
tutu1241	0	0	1	0	1
utes1238	1	0	0	1	0
wari1268	0	1	0	0	1
achu1248	1	0	0	1	0
alag1248	0	0	0	1	1
bemb1257	1	0	1	0	1
bugi1244	0	1	1	0	0
caom1238	0	0	1	0	1
chil1280	0	0	0	1	0
daai1236	1	0	0	1	1
gamo1243	1	0	0	1	1
gily1242	1	0	0	1	1
hano1246	0	0	1	0	1
kaqc1270	0	1	0	0	1
katb1237	0	0	1	0	1
kett1243	0	0	0	1	1
mbul1263	0	0	1	0	1
mere1242	0	0	1	0	1
naue1237	0	0	1	0	1
nukn1238	1	0	1	0	0
paaa1242	0	0	1	0	1
pila1245	0	0	1	0	0
pnar1238	0	1	0	0	1
tsat1238	0	0	1	0	1
umes1235	1	0	0	1	0
wayu1241	1	0	0	1	0
west2369	1	0	0	1	1
zagh1240	0	0	0	1	1
athp1241	1	0	0	1	0
biha1246	0	0	1	0	0
byan1241	1	0	0	1	1
coma1245	1	0	0	1	1
dani1285	0	0	1	0	0
djee1236	0	0	1	1	0
drun1238	1	0	0	1	0
east2443	0	0	1	0	1
east2555	0	0	0	1	0
furr1244	1	0	0	1	1
hula1244	0	0	0	1	0
irul1243	1	0	0	1	0
kala1399	1	0	0	1	0
koda1255	1	0	0	1	0
koho1244	0	0	1	0	1
komb1274	0	0	0	1	1
lama1277	0	0	1	0	1
lush1249	1	0	0	1	0
lush1252	0	1	0	0	1
male1284	1	0	0	1	0
maza1304	0	0	1	0	1
mlab1235	0	0	1	0	0
muru1274	1	0	0	1	0
namb1293	1	0	0	1	0
nawu1242	0	0	1	0	1
niua1240	0	1	0	0	1
pohn1238	0	0	1	0	1
pure1242	1	0	0	1	1
quio1240	0	1	0	0	0
ruma1248	0	0	1	0	0
shil1265	0	0	1	0	1
shix1238	1	0	0	1	1
shon1251	0	0	1	0	1
swed1254	0	0	1	0	1
tehu1242	0	1	1	1	0
woli1241	0	1	0	0	0
yami1256	1	0	0	1	0
yems1235	1	0	0	1	1
apin1244	0	0	0	1	1
bant1281	1	0	0	1	0
camp1261	0	0	1	0	0
gela1263	0	1	0	0	0
guru1271	0	0	1	0	1
hawa1245	0	1	0	0	1
huar1255	0	0	1	0	1
jamb1236	0	0	1	0	0
komi1269	1	0	1	0	0
lavu1241	0	0	0	1	1
maxa1247	1	0	0	1	0
mokl1243	0	0	1	0	0
ngar1284	0	1	1	1	0
nhen1239	0	1	1	1	0
okan1243	0	0	1	0	0
orok1267	0	0	0	1	1
sauk1252	1	0	0	1	1
sema1265	0	1	1	0	0
seri1257	0	0	0	1	1
soga1242	0	0	1	0	0
sons1242	0	0	1	0	0
turk1304	1	0	0	1	1
west2430	0	0	1	0	1
yaum1237	1	0	0	1	0
abar1238	0	0	1	0	1
anei1239	1	1	1	0	1
anga1288	1	0	0	1	1
buru1320	0	0	1	0	0
cemu1238	0	1	0	0	1
chuw1238	0	0	1	0	0
daza1242	1	0	0	1	1
desa1247	1	0	0	1	0
fuyu1242	0	0	0	1	1
gube1234	0	0	1	0	1
huam1247	1	0	0	1	0
kank1243	1	1	0	0	1
kich1262	0	1	0	0	1
konk1267	1	0	0	1	0
kove1237	0	0	1	0	1
lave1248	0	0	1	0	1
mait1250	0	0	0	1	1
mokp1239	0	0	1	0	0
ndam1239	0	0	1	0	0
ngit1239	0	0	1	0	0
nyal1254	0	1	0	0	1
nyor1246	0	0	1	0	1
olut1240	0	0	1	0	1
sout2857	0	0	1	0	1
teke1275	0	0	1	0	0
tosk1239	1	1	1	0	0
wiru1244	1	0	0	1	0
wotu1240	0	0	1	0	0
acol1236	0	0	1	0	1
auye1238	1	0	0	1	0
beka1241	0	0	1	0	0
boun1243	0	0	1	0	0
bujh1238	1	0	0	1	1
cors1241	0	0	1	0	0
crim1257	1	0	0	1	1
culi1244	0	0	0	1	1
dana1252	0	0	1	0	1
darm1243	0	0	0	1	1
domm1246	0	0	0	1	0
east2516	1	0	0	1	0
galo1242	1	0	0	1	0
guah1255	1	0	0	1	1
guer1243	0	1	0	0	1
huic1243	0	0	0	1	1
idun1242	0	0	0	1	0
mamm1241	0	1	0	0	1
mikm1235	1	1	1	1	0
mose1249	0	0	1	0	0
newa1246	1	0	0	1	1
nopa1235	1	1	0	0	0
nort2938	0	0	0	1	1
roto1249	0	0	0	1	1
saur1249	1	0	0	1	0
sici1248	0	0	1	0	0
tang1377	1	0	0	1	1
taus1251	0	1	0	0	1
tuva1244	0	1	0	0	0
west2560	0	1	0	0	0
bala1315	0	0	1	0	0
cent2292	0	0	1	0	0
colu1241	0	1	0	0	0
dara1250	1	0	0	1	1
dera1248	0	0	1	0	1
diga1241	1	0	0	1	1
gade1242	0	0	1	0	1
haru1245	0	0	0	1	0
iaai1238	0	1	0	0	1
kera1255	0	0	1	0	1
kolb1240	0	0	1	0	1
lote1237	0	0	1	0	1
mini1251	0	0	1	0	1
nort2845	0	1	0	0	1
oloo1241	0	0	1	0	0
roma1326	0	0	1	0	1
rung1258	0	0	0	1	1
seda1262	0	0	1	0	0
swah1253	0	0	1	0	1
toke1240	1	1	0	0	0
tswa1253	0	0	1	0	1
tung1290	0	0	1	0	1
waiw1244	0	0	1	0	0
waya1269	1	0	1	1	0
west2635	0	1	0	0	1
yaka1277	1	1	0	0	1
aime1238	1	0	0	1	1
alab1237	1	0	0	1	0
amdo1237	1	0	1	0	0
bini1246	0	1	0	0	0
cent1989	0	0	1	0	0
como1259	1	1	0	0	1
dagb1246	0	0	1	0	1
fuln1247	0	0	0	1	1
guiq1238	1	0	0	1	1
guny1241	1	0	1	0	1
hida1246	1	0	0	1	1
hone1235	0	0	1	0	1
iban1267	0	1	0	0	1
kara1486	0	0	1	0	1
kiow1266	1	0	0	1	1
kusa1251	0	1	0	0	1
lish1245	0	0	0	1	0
lugu1238	0	0	1	0	0
macu1260	0	0	0	0	1
mand1440	0	0	1	0	1
mati1250	1	1	0	0	1
mich1245	0	1	1	0	1
ndog1248	0	0	1	0	1
nort2723	0	0	0	1	1
rabh1238	1	0	0	1	1
sout2782	0	0	1	0	0
than1259	1	0	0	1	1
tief1242	0	0	1	0	0
ulit1238	0	0	1	0	1
yaak1241	0	0	1	0	0
yura1255	0	1	1	0	0
ainu1240	0	0	0	1	1
band1344	0	0	1	0	1
bari1286	0	0	1	0	1
boro1277	1	0	0	1	1
chac1251	1	0	1	1	1
chim1302	1	0	0	1	0
chot1239	1	0	0	1	0
gude1246	0	1	1	0	1
guma1254	0	0	0	1	1
hoav1238	0	1	0	0	1
huas1242	0	0	1	0	1
ibat1238	0	1	0	0	0
ivat1242	1	1	0	0	0
kara1500	0	0	0	1	1
kuik1246	1	0	0	1	1
kwam1252	0	0	1	0	1
lepc1244	0	0	0	1	1
louu1245	0	0	1	0	1
mada1285	0	0	1	0	1
mais1250	0	0	0	1	1
nezp1238	1	1	1	1	0
nort3047	0	0	1	0	1
qanj1241	0	1	0	0	1
sars1236	0	0	0	1	1
sooo1254	0	0	1	0	1
sout2649	1	0	0	1	1
taba1263	0	0	0	1	1
taha1241	1	1	0	0	1
uppe1275	0	1	0	0	1
waig1244	0	0	1	0	1
yong1280	1	0	0	1	1
zoog1238	0	1	0	0	0
aghu1255	0	0	0	1	1
amam1246	0	0	0	1	1
biao1253	0	0	1	0	1
boto1242	1	1	0	0	0
dzon1239	1	0	0	1	1
huuu1240	0	0	1	0	0
kamb1299	0	0	1	0	0
kony1248	1	0	0	1	1
koor1239	1	0	0	1	0
lahu1253	0	0	0	1	1
lamk1238	1	0	0	1	0
lemb1266	1	0	0	1	0
mana1295	0	0	0	1	1
mari1440	1	0	0	1	0
murl1244	1	1	0	0	0
nucl1593	0	0	0	1	1
seke1241	0	0	1	0	1
shor1247	1	0	0	1	1
sioo1240	0	0	1	0	1
thul1246	1	0	0	1	1
tuka1248	0	1	1	0	0
wage1238	1	0	1	1	0
yele1255	0	1	1	1	0
yuch1247	0	0	0	1	0
akun1241	0	0	0	1	1
amii1238	0	0	1	1	0
cent2084	0	1	0	0	0
dobu1241	0	0	0	1	0
fare1241	0	0	1	0	1
kaba1278	1	0	0	1	1
keap1239	1	0	0	1	0
kuan1248	0	0	1	0	1
kuot1243	1	1	0	0	1
kuyy1240	0	0	1	0	1
kwom1262	1	0	0	1	1
maib1239	0	0	1	0	0
mara1399	0	0	1	0	1
mats1244	1	1	1	1	0
mpii1239	1	0	0	1	0
nali1244	0	0	1	0	1
port1285	0	0	1	0	1
sene1264	0	1	1	1	0
tbol1240	0	1	0	0	1
urar1246	0	0	1	0	1
xish1235	0	0	0	1	0
yind1247	1	1	0	0	0
zaiw1241	1	0	0	1	1
awad1243	1	0	0	1	0
bafi1243	0	0	1	0	0
bora1263	1	1	1	1	0
cane1242	1	0	0	1	1
cent2050	0	0	0	1	0
dumb1241	0	1	1	0	1
gali1262	0	0	0	1	0
hame1242	1	0	0	1	0
kamb1297	0	0	1	0	0
khar1288	1	0	0	1	1
kuan1247	0	0	1	0	1
kusu1250	1	0	0	1	1
lewo1242	0	0	1	0	1
lowl1260	0	1	0	0	0
luan1263	0	0	1	0	1
magd1235	0	1	0	0	0
malt1254	1	0	1	0	0
malu1245	0	0	1	0	1
mang1401	0	1	0	0	1
mapo1242	0	1	1	0	1
mara1386	0	0	0	1	0
mbay1241	0	0	1	0	1
mpot1240	0	0	1	0	0
naka1262	0	0	1	0	1
naur1243	0	0	1	0	0
nort2930	0	0	0	1	1
raro1241	0	1	0	0	0
sika1261	0	0	1	0	0
tete1251	0	0	1	0	1
tigo1236	0	0	1	0	1
tita1241	0	0	1	0	1
tobe1252	0	0	0	1	0
waru1265	1	0	0	1	0
wels1247	0	1	0	0	0
yale1246	0	0	0	1	1
yoku1256	1	1	1	1	0
gami1243	1	0	0	1	1
ayiw1239	0	0	1	0	0
bimi1240	0	0	0	1	1
cici1237	0	0	1	0	1
hali1244	0	0	1	0	1
jalk1242	0	0	0	1	1
kach1280	1	0	0	1	1
khez1235	1	0	0	1	0
leng1259	0	1	0	0	0
logo1259	0	0	1	0	1
luya1241	0	0	1	0	1
maba1277	0	0	0	1	1
masb1238	0	1	0	0	0
noon1243	0	0	1	0	1
patt1248	1	0	0	1	0
puma1239	1	0	0	1	0
reng1252	0	0	1	0	0
sabu1255	0	1	0	0	0
samb1305	0	0	1	0	0
shol1240	1	0	0	1	0
sout3261	1	1	1	1	0
term1237	0	0	1	0	1
tond1249	0	0	0	1	1
tong1325	0	1	0	0	0
trum1247	1	0	0	1	0
yano1261	1	0	0	1	1
yecu1235	0	1	0	0	0
bara1357	1	0	0	1	1
bhoj1244	1	0	0	1	0
bona1250	1	0	0	1	0
capa1241	1	0	0	1	0
chip1241	0	1	0	0	0
chuj1250	0	1	0	0	1
copa1237	0	1	0	0	1
gilb1244	0	0	1	0	1
kumz1235	0	0	0	1	1
kuni1267	0	0	0	1	1
kwam1249	0	0	1	0	0
lazz1240	1	0	0	1	1
makc1235	0	0	1	0	0
malg1251	0	0	1	0	1
moke1242	0	0	1	0	0
moki1238	0	0	1	0	0
nucl1633	0	0	0	1	1
orok1269	1	0	0	1	1
sanm1289	1	0	0	1	0
shan1283	1	0	0	1	1
tiga1245	0	0	1	0	1
tsha1245	1	0	0	1	0
turk1303	1	0	1	1	1
ukra1253	1	0	1	0	0
zays1235	1	0	0	1	1
abua1245	0	0	1	0	1
agua1253	1	0	0	1	0
apat1240	0	0	0	1	1
arbo1245	1	0	1	0	1
bent1238	1	0	0	1	1
caml1239	1	0	0	1	0
chan1313	1	0	0	1	1
chir1283	1	0	0	1	1
dido1241	1	0	0	1	0
haka1240	1	0	0	1	1
hunz1247	1	0	0	1	1
iton1250	0	1	0	0	0
jama1261	0	0	0	1	0
kele1259	0	1	0	0	1
khak1248	1	0	0	1	1
kolc1235	0	0	1	0	1
mixt1426	0	1	0	0	1
nucl1240	0	0	1	0	1
nung1282	0	0	0	1	1
pagi1243	0	0	1	0	1
paul1238	0	0	1	0	1
pipi1250	0	1	0	0	1
tang1336	1	0	0	1	1
tekt1235	0	1	0	0	1
thao1240	0	1	1	0	0
ware1253	0	0	1	0	1
west2415	1	0	1	1	0
yagu1244	1	1	0	0	1
yape1248	0	1	0	0	1
babi1235	0	0	0	1	1
blab1237	0	1	1	0	0
cent1990	0	1	0	0	1
chas1234	0	0	0	1	0
gira1247	0	0	0	1	1
gofa1235	1	0	0	1	1
ibal1244	1	1	0	0	1
jams1239	0	0	0	1	1
kgal1244	0	0	1	0	1
khva1239	1	0	0	1	1
kosa1249	1	0	0	1	1
koyr1240	0	0	1	0	1
luva1239	0	0	1	0	0
mato1252	0	0	1	0	1
mezo1235	0	1	0	0	0
moco1246	0	1	0	1	1
mull1237	1	0	0	1	0
nend1239	1	0	0	1	1
neng1238	0	1	0	0	0
pang1290	0	1	0	0	1
ronn1241	0	0	1	0	1
saba1268	1	0	0	1	0
urav1235	0	0	1	0	1
voti1245	1	0	1	0	1
warj1242	0	0	1	0	0
alor1247	0	0	1	0	1
bata1289	0	1	0	0	1
chad1249	0	1	1	0	1
baur1253	0	1	0	0	0
cacu1241	1	0	0	1	1
chec1245	1	0	0	1	1
iliu1237	0	0	1	0	1
khal1275	1	0	0	1	1
khan1274	0	0	1	0	1
koit1244	1	0	0	1	1
koyr1242	0	0	1	1	1
makh1264	0	0	1	0	1
mamb1294	0	0	1	0	1
mang1405	0	1	1	0	0
mayo1261	0	0	1	0	1
mayo1264	1	0	0	1	1
moun1252	1	0	0	1	1
ngba1285	0	0	1	0	1
sani1269	0	0	0	1	1
shaw1249	0	1	0	0	0
siwi1239	0	0	1	0	1
taku1257	0	0	1	0	1
tugu1245	0	0	1	0	1
bagi1246	0	0	1	0	1
bali1278	0	1	1	0	1
nort2702	1	0	0	1	0
ngar1235	1	1	1	1	0
bodo1269	1	0	0	1	0
cent2140	1	1	1	1	0
chek1238	0	0	1	0	1
cusc1236	1	0	0	1	1
dagi1241	0	0	1	0	1
doro1266	0	0	0	1	1
guhu1244	1	0	0	1	0
humb1243	0	0	1	1	1
ikkk1242	1	1	0	0	1
kafa1242	0	0	0	1	1
khmu1256	0	0	1	0	1
lach1248	0	0	1	0	1
liby1240	0	1	1	0	0
mari1426	1	0	1	0	1
meen1242	0	0	1	0	1
movi1243	0	1	0	0	1
moyo1238	1	0	0	1	0
nort2671	1	0	1	0	0
