Glottocode	GB070	GB131	GB132	GB133	GB136
nort2972	1	0	0	1	1
nucl1327	0	0	0	1	0
pang1287	0	0	1	0	1
rade1240	0	0	1	0	1
shwe1236	0	0	1	0	1
sout2976	1	1	0	0	1
stan1318	1	1	0	0	1
tomm1242	1	0	0	1	0
urak1238	0	0	1	0	1
whit1269	0	0	1	0	1
axiy1235	0	0	0	1	1
ayac1239	1	0	0	1	1
belh1239	1	0	0	1	0
boht1238	0	0	0	1	0
boly1239	0	0	1	0	1
chiq1248	0	0	1	0	1
chra1242	0	0	1	0	1
coat1243	0	1	0	0	0
dumi1241	1	0	0	1	1
egyp1253	0	1	0	0	0
gogo1265	0	0	0	1	0
ingu1240	1	0	0	1	1
kaba1281	0	0	1	0	1
melp1238	1	0	0	1	0
mopa1243	0	1	0	0	1
qima1242	1	0	0	1	1
rata1244	1	1	1	0	0
siee1239	0	0	1	0	1
sout2869	0	0	1	0	1
sout2985	1	0	0	0	0
timn1235	0	0	1	0	0
adon1237	0	0	1	0	1
arom1237	1	0	1	0	1
awar1249	0	0	0	1	1
baro1253	0	0	1	0	1
even1260	1	0	1	1	0
bull1247	0	0	1	1	0
ghod1238	1	0	0	1	0
hava1248	1	0	0	1	1
honi1244	1	0	0	1	1
iumi1238	0	0	1	0	1
kalm1243	1	0	0	1	0
kryt1240	1	0	0	1	1
lika1243	0	0	1	0	1
lugb1240	1	0	1	0	1
mehe1243	0	0	0	1	0
ngab1239	1	0	0	1	1
sanb1242	0	0	0	1	1
tabo1241	0	0	0	1	1
teri1250	0	0	0	1	1
ulwa1239	0	0	0	1	1
umbu1258	1	0	0	1	0
vunj1238	0	0	1	0	1
wola1253	1	0	0	1	1
achi1256	0	0	1	0	1
arop1242	0	0	1	0	1
chin1286	0	1	1	1	0
dadi1250	1	0	0	1	1
dupa1235	1	1	0	0	1
east2556	0	1	0	0	0
embe1260	1	0	0	1	1
fina1242	1	1	0	0	1
gant1244	0	0	0	1	1
garo1247	1	0	0	1	1
huaa1248	0	0	1	0	1
hula1239	1	0	0	1	0
kala1384	0	0	1	0	1
karo1304	0	1	1	1	0
lagw1237	0	0	1	0	1
lele1276	0	1	1	0	0
leme1238	0	0	1	0	1
lowl1265	0	0	0	1	1
mina1268	0	0	1	0	0
niha1238	1	0	0	1	0
qawa1238	0	0	0	1	1
tsis1238	0	0	1	0	1
ulch1241	1	0	0	1	0
ward1246	1	0	1	0	0
west2615	0	0	0	1	0
wudi1238	1	0	1	0	1
yona1241	1	0	0	1	0
zaca1241	0	0	1	0	1
amap1240	0	0	0	1	0
bira1253	0	0	0	1	1
brib1243	1	0	0	1	1
chep1245	1	0	0	1	1
isna1241	0	1	0	0	1
kolu1245	0	0	0	1	0
kute1248	0	0	1	0	1
maan1238	0	0	1	0	0
maco1239	1	0	0	1	0
maja1242	0	1	0	0	1
mala1463	1	0	0	1	0
moch1257	0	1	0	0	1
nhan1238	1	1	1	1	0
nort3139	0	1	0	0	0
pima1248	1	0	0	1	1
rapa1244	0	1	0	0	1
rotu1241	0	0	1	0	1
sana1295	0	1	1	0	1
tong1308	0	0	1	0	0
tulu1258	1	0	0	1	0
west2548	0	0	1	1	0
xava1240	0	0	0	1	1
yapu1240	0	0	1	0	1
zaba1237	0	1	0	0	1
anuf1239	0	0	1	0	1
awad1244	0	0	0	1	1
bord1248	0	0	0	1	1
cent2004	0	0	1	0	1
indo1316	0	1	1	0	1
ewee1241	0	0	1	0	1
hixk1239	0	0	1	0	1
hote1245	0	0	1	0	1
jeha1242	0	0	1	0	1
kweg1241	0	0	1	0	0
loka1252	0	0	1	0	1
mban1263	0	0	1	0	1
misk1235	1	0	0	1	1
nang1262	0	0	1	0	0
nisg1240	0	1	0	0	1
payn1244	1	0	0	1	0
pina1252	1	0	0	1	1
saaa1241	0	0	1	0	1
sang1331	0	0	1	0	1
shee1238	0	0	1	0	1
sier1250	0	1	0	0	0
siks1238	0	0	1	0	0
tezo1238	0	1	0	0	1
tswa1255	0	0	1	0	1
yaqu1251	1	0	0	1	1
zani1235	0	1	0	0	1
agut1237	0	1	0	0	0
arop1243	1	0	1	0	1
awet1244	0	1	1	1	0
bahi1252	1	0	0	1	0
dand1238	1	0	0	1	1
fran1266	1	1	0	0	1
hang1263	0	0	0	1	0
jina1244	0	0	1	0	1
kurr1243	1	1	0	0	0
mono1275	1	0	0	1	1
mudu1239	1	0	0	1	0
mund1330	0	0	0	1	1
nucl1458	0	0	0	1	1
pemo1248	1	0	0	1	1
rovi1238	0	1	0	0	1
sgaw1245	0	0	1	0	0
sout2730	0	0	1	0	1
sout3236	1	0	1	1	0
taga1272	1	1	0	0	0
tari1256	1	1	1	1	0
taya1257	1	1	0	0	1
tote1238	0	0	1	0	0
west2632	0	1	1	1	0
atam1240	0	1	0	0	0
aulu1238	0	0	1	0	1
bawm1236	0	0	0	1	0
cent2142	1	1	1	1	0
gumu1244	1	0	1	1	0
hupd1244	1	0	0	1	1
kali1308	0	1	0	0	0
kara1487	1	1	0	0	1
kari1311	0	0	1	0	1
kiku1240	0	0	1	0	1
kwin1241	0	0	1	0	0
loth1237	1	0	0	1	1
mali1285	0	1	1	0	1
mara1382	1	0	0	1	0
mini1256	1	0	0	1	1
motu1246	0	0	0	1	0
negi1245	1	0	0	1	0
nsen1242	0	0	1	0	0
nuuu1241	0	0	1	0	1
nyam1285	0	0	1	0	1
ofay1240	0	0	0	1	1
orow1242	0	1	0	0	1
sant1436	0	1	0	0	1
sant1451	0	1	0	0	0
teda1241	1	0	0	1	1
tuki1240	0	0	1	0	0
yakk1236	1	0	0	1	0
yong1270	0	0	0	1	1
akha1245	0	0	0	1	1
auuu1241	0	0	1	0	1
baba1266	0	0	1	0	1
bamu1253	0	0	1	0	1
blan1242	0	0	1	0	1
buru1296	1	0	0	1	1
cent2150	1	0	0	1	1
cham1309	1	0	0	1	0
damp1237	0	0	1	0	0
embe1262	1	0	0	1	1
isir1237	1	0	0	1	1
jurm1239	0	0	1	0	1
kwaz1243	1	0	1	0	1
lend1245	0	0	1	1	1
maka1304	0	0	1	0	1
meta1238	0	0	1	0	1
nort2774	0	0	1	0	1
nucl1706	1	1	1	1	0
nupe1254	0	0	1	0	1
remb1250	0	0	1	0	1
sout2918	0	1	0	0	1
tang1347	0	0	1	0	1
tiko1237	0	0	1	0	1
yare1248	0	0	0	1	1
adze1240	0	0	1	0	1
ghom1257	0	0	0	1	0
kare1338	0	0	1	0	1
makh1266	0	0	1	0	0
mang1378	0	0	1	0	1
musa1266	1	0	0	1	0
nuer1246	0	0	1	1	0
samb1311	0	0	1	0	1
sout2895	0	0	1	0	1
tenn1246	1	1	0	0	0
tusc1257	0	0	0	1	0
aree1239	0	0	0	1	1
awac1239	0	0	0	1	1
bekw1241	0	0	1	0	1
bili1260	1	1	1	1	0
bugl1243	0	0	0	1	1
coeu1236	0	1	0	0	0
dyul1238	0	0	0	1	0
epen1239	1	0	0	1	1
gapa1238	0	0	0	1	0
guan1269	1	0	0	1	1
karb1241	0	0	0	1	0
ling1265	0	0	1	0	1
mala1522	1	0	0	1	1
mask1242	0	0	1	0	1
mbar1260	0	0	1	0	1
muru1266	1	1	1	1	0
mwan1247	0	0	1	0	0
obok1239	1	0	0	1	1
para1302	1	0	1	0	0
urni1239	0	0	0	1	0
wand1267	0	0	1	0	1
west2397	0	0	1	0	0
arhu1242	1	0	0	1	1
dawr1236	1	0	0	1	1
emae1237	0	0	1	0	1
gata1239	1	0	0	1	1
jara1266	0	0	1	0	1
kips1239	1	1	0	0	1
kola1285	0	0	1	0	0
mund1320	0	0	0	1	0
nand1266	1	1	0	0	0
ngam1268	0	0	1	0	1
noku1237	0	0	1	0	1
omie1241	1	0	0	1	0
onto1237	0	1	1	0	0
pana1307	1	0	1	0	1
pawn1254	0	1	0	0	0
yidi1250	1	0	0	1	0
yulp1239	1	0	0	1	0
zuni1245	1	0	0	1	1
apur1254	0	0	0	1	1
cald1236	1	0	0	1	0
koir1240	1	0	0	1	1
kuku1280	1	0	0	1	0
lamb1269	1	0	0	1	1
romb1245	1	1	0	0	1
sant1410	0	0	0	1	0
sara1321	0	0	1	0	1
tata1257	1	1	0	0	1
toto1302	1	0	0	1	1
yaey1239	0	0	0	1	1
alac1244	0	1	0	0	1
caro1242	1	0	1	0	1
esim1238	0	0	1	0	1
gulf1241	0	1	1	0	0
laal1242	0	0	1	0	1
labu1248	0	0	1	0	1
male1289	0	0	1	0	1
mang1394	0	0	1	0	1
matb1237	0	0	1	0	1
ngaa1240	1	0	0	1	1
psik1239	0	1	1	1	0
puka1242	0	1	0	0	1
tane1237	0	0	1	0	1
ticu1245	0	0	1	1	1
amah1246	1	0	0	1	1
avac1239	1	0	0	1	0
bala1311	0	1	0	0	0
bitt1240	0	0	1	0	1
biwa1243	1	0	0	1	1
iyoo1238	0	0	0	1	1
khin1240	1	0	0	1	1
koon1244	0	0	1	0	1
kuma1280	0	0	0	1	0
lega1249	0	0	1	0	1
mala1479	0	0	1	0	1
maya1285	0	0	0	1	1
nort2957	0	0	1	0	1
nyak1260	0	0	1	0	0
pagu1249	0	0	0	1	0
timu1262	0	1	0	0	1
yuqu1240	0	0	0	1	1
baki1244	0	0	1	0	1
bala1316	0	1	0	0	1
barg1252	0	0	0	1	0
lahu1252	0	0	0	1	1
madn1237	1	0	0	1	1
mars1254	0	0	1	0	1
ping1243	0	0	1	0	1
sanj1284	0	1	0	0	0
sapu1248	0	0	1	0	1
tera1251	0	0	1	0	1
wash1253	0	0	0	1	1
amis1246	1	1	0	0	1
azha1235	0	0	0	1	1
bang1354	0	0	1	0	1
bang1369	0	0	0	1	0
boka1249	1	0	0	1	1
brah1256	1	0	0	1	1
caac1237	0	1	0	0	1
cavi1250	1	1	1	1	0
ekar1243	0	0	0	1	1
geda1237	0	0	0	1	1
huba1236	0	0	1	0	1
long1395	0	1	0	0	0
mari1424	1	0	0	1	1
nusu1239	0	0	0	1	1
nuuc1236	0	1	0	0	0
taia1239	1	0	0	1	0
tari1263	0	1	0	0	0
viem1243	0	0	0	1	1
west2600	0	0	1	0	1
west2650	0	0	1	0	1
wuvu1239	0	0	1	0	0
bina1277	1	0	0	1	1
bong1289	0	0	1	0	0
chhi1245	1	0	0	1	0
chic1270	1	0	0	1	0
gola1255	0	0	1	0	1
jaqa1244	1	1	1	1	0
juan1238	1	0	0	1	0
kele1258	0	0	1	0	1
bomk1234	0	0	1	1	0
lala1264	0	0	1	0	1
lund1266	0	0	1	0	1
manm1238	0	0	1	0	1
sanu1240	1	0	0	1	1
sasa1249	0	0	1	0	1
tang1373	1	0	0	1	1
taus1253	0	1	0	0	1
wala1266	0	0	1	0	1
waor1240	0	0	1	0	1
woun1238	1	0	0	1	1
xokl1240	1	0	0	1	1
bayb1234	0	1	0	0	0
char1269	0	0	0	1	1
glav1244	0	1	0	0	0
hooo1248	0	0	0	1	0
kani1286	1	0	0	1	0
kara1482	0	0	1	0	1
lele1267	0	0	1	0	1
rikb1245	1	0	0	1	1
teop1238	0	0	1	0	0
west2763	0	1	0	0	0
yulu1243	1	0	1	0	1
amar1272	0	0	1	0	1
araw1273	0	0	0	1	0
arch1244	1	0	0	1	1
baka1272	0	0	1	0	1
gand1255	0	0	1	0	1
kava1241	0	1	0	0	0
keig1242	0	1	0	0	1
morm1235	0	0	1	0	1
pamo1252	0	1	0	0	0
bura1292	0	0	1	0	1
east2485	0	0	1	0	0
east2690	0	1	0	0	0
kana1286	0	0	0	1	1
mika1239	1	0	0	1	0
ngba1284	0	0	1	0	1
nots1237	0	0	1	0	1
peer1241	0	0	1	0	1
rere1240	0	0	1	0	1
sanb1241	0	1	0	0	1
shua1257	1	0	0	1	1
tean1237	0	0	1	0	1
darg1241	1	0	0	1	0
enap1235	1	1	0	0	0
jahh1242	0	0	1	0	0
nyis1236	1	0	0	1	0
pare1266	0	0	0	1	0
temo1245	0	0	1	0	1
trin1274	0	0	1	0	1
vano1237	0	0	1	0	1
zhab1238	0	0	1	0	1
awji1241	0	1	0	0	0
ilon1239	0	1	0	0	1
rama1270	1	0	0	1	1
saaa1240	0	0	1	0	1
sapo1253	0	0	1	0	1
sier1248	0	1	0	0	1
sora1254	0	0	0	1	1
tamb1254	0	1	1	0	0
wole1240	0	0	1	0	1
beem1239	0	0	1	0	1
bolo1262	0	0	1	0	1
colo1256	1	0	0	1	1
fass1245	1	0	0	1	1
filo1235	0	1	0	0	1
hehe1240	0	0	1	0	1
holo1240	0	0	1	0	1
idom1241	0	0	1	1	1
lusi1240	0	0	1	0	1
misi1243	0	0	0	1	0
pare1272	0	0	1	1	0
pech1241	1	0	0	1	1
zapa1253	0	0	1	0	1
bara1370	0	0	1	1	0
cham1315	0	1	1	0	0
gale1259	0	0	0	1	0
kina1250	0	1	0	0	1
koka1244	1	0	0	1	1
lama1288	0	1	0	0	1
lihi1237	1	0	1	0	1
vinm1237	0	0	1	0	1
yako1252	0	0	1	0	1
abee1242	0	0	1	0	1
arig1246	0	0	1	0	1
hass1238	0	1	0	0	1
hung1275	0	0	1	0	0
karn1252	0	0	1	0	1
miri1266	0	1	1	1	0
nort2951	1	0	0	1	1
pate1247	0	0	1	0	1
aros1241	0	0	1	0	1
bilb1241	1	0	1	0	1
cogu1240	1	0	0	1	1
mamb1296	0	0	1	0	1
mort1237	0	0	1	0	1
sanm1301	0	1	0	0	1
tina1248	0	1	0	0	0
toll1241	1	0	0	1	1
wadj1254	1	1	1	1	0
asut1235	0	0	1	0	1
baga1272	0	0	1	0	1
elem1253	0	0	1	0	1
gaan1243	0	1	0	0	0
ibib1240	0	0	1	0	1
kulo1237	0	1	1	0	0
midd1327	0	0	1	0	1
sang1321	1	0	0	1	1
sata1237	0	0	1	0	1
yaka1272	0	0	1	0	1
cabe1245	1	0	0	1	1
chey1247	0	1	1	1	0
cori1240	0	0	1	0	1
jehh1245	0	0	1	0	0
lamb1273	0	0	1	0	0
mouk1239	0	0	1	0	1
neha1247	0	0	1	0	0
reye1240	0	1	0	0	0
saki1248	0	0	0	1	1
uuuu1243	0	0	1	0	1
awtu1239	1	0	0	1	0
baba1268	0	0	1	0	1
bidy1244	0	0	1	0	1
cent2100	0	1	0	0	1
kaki1249	1	0	0	1	1
baka1274	0	0	1	0	1
biat1246	0	0	1	1	0
budu1265	0	0	1	0	1
cofa1242	1	0	0	1	1
land1256	0	0	1	0	1
lozi1239	0	0	1	1	1
mand1436	0	0	0	1	1
mbaa1245	0	0	1	0	1
niue1239	0	1	0	0	1
rung1259	0	1	1	0	0
waro1242	0	0	1	0	1
yaoo1241	0	0	1	0	1
ango1257	1	0	0	1	1
araw1276	0	1	1	0	0
awar1248	1	0	0	1	1
chim1309	1	0	1	0	1
luch1239	0	0	1	0	1
mamv1243	0	0	1	1	1
nige1253	0	0	1	0	1
taga1273	0	1	1	1	0
yama1264	1	0	1	0	1
keme1240	0	0	1	0	1
komo1260	0	0	1	0	1
lamo1244	0	0	1	0	1
mwan1250	0	0	0	1	1
nort2775	0	0	1	0	1
nzak1246	0	0	1	0	1
remo1247	0	1	0	0	1
sela1260	0	1	1	1	0
toma1245	0	0	0	1	1
uduk1239	1	1	1	1	0
bamb1270	0	0	1	0	1
bila1255	0	0	1	0	1
buhu1237	0	0	0	1	1
east2332	0	0	1	0	1
gbay1288	0	0	1	0	1
libi1244	0	0	1	0	1
mafe1237	0	0	1	0	1
matu1259	0	0	1	0	0
nucl1347	0	0	1	0	1
pang1291	0	1	0	0	0
pula1262	0	0	1	0	1
siam1242	0	0	0	1	1
siyi1240	1	0	0	0	0
waga1260	1	1	0	0	1
wikm1247	1	0	1	1	1
isth1241	0	0	1	0	1
kork1243	1	0	0	1	0
maas1239	0	0	1	0	1
raut1239	1	0	0	1	1
ugon1239	0	0	0	1	1
zulg1242	0	0	1	0	1
kark1258	1	0	0	1	0
kute1249	0	1	0	0	0
naxi1245	0	0	0	1	1
nucl1595	1	0	0	1	1
pano1254	1	0	0	1	1
wanm1242	1	1	0	0	1
bugh1239	0	1	0	0	0
cayu1262	0	1	0	0	0
guro1248	0	0	0	1	1
luse1252	0	0	0	1	1
ncan1245	0	0	1	0	1
pamb1243	1	0	1	0	1
ware1255	0	0	1	0	1
ajas1235	0	0	1	0	1
avat1244	0	0	1	0	1
pint1250	1	0	1	1	0
pula1263	0	0	1	0	1
sobe1238	0	0	1	0	0
yaou1238	0	0	0	1	1
atay1247	0	1	0	0	1
gebe1237	0	0	1	0	1
kimm1246	0	0	1	0	1
peri1253	1	0	0	1	1
vwan1235	1	0	1	0	1
yora1241	1	0	0	1	0
alba1269	1	1	0	0	0
bara1361	1	0	1	0	1
gura1251	0	0	0	1	0
kele1255	0	0	1	0	1
mara1404	0	1	0	0	0
nort2847	0	0	1	0	1
papa1238	0	1	0	0	1
sele1249	0	0	1	0	1
west2624	0	1	0	0	0
bang1363	0	1	1	1	1
furu1242	0	0	1	0	1
guam1248	1	0	0	1	1
guat1253	0	1	0	0	1
nati1244	0	0	1	0	1
ndun1249	0	0	1	0	1
soni1259	0	0	0	1	1
tawa1286	0	1	1	0	0
telu1262	1	0	0	1	0
temp1235	0	1	0	0	1
waim1253	0	0	0	1	1
apma1241	0	0	0	1	1
fait1240	0	0	0	1	0
heil1246	1	1	0	0	1
lame1260	0	0	1	0	1
maru1252	1	0	0	1	0
tien1242	0	0	1	0	1
tuge1241	1	1	0	0	0
bare1279	1	0	1	0	0
buna1276	0	0	0	1	0
mang1404	0	0	1	1	0
moii1235	0	0	1	0	1
sini1242	0	0	0	1	1
acha1250	1	0	1	0	1
cams1241	0	0	1	1	0
dibo1245	0	0	1	0	1
keng1240	0	0	1	0	1
mann1248	0	0	0	1	1
mong1338	0	0	1	0	1
sout2859	0	0	1	0	1
wann1242	0	0	0	1	1
biaf1240	0	1	0	0	0
esan1238	0	0	1	0	1
laiy1246	0	0	1	0	0
siaw1243	1	0	0	1	0
akei1237	0	0	1	0	1
lave1249	0	0	1	0	1
mala1534	0	1	0	0	1
siri1274	1	0	0	1	1
wara1300	1	1	0	0	1
beja1238	1	0	0	1	0
ngom1268	0	0	1	0	1
saya1246	0	0	1	1	1
teng1272	0	1	1	1	0
ache1245	0	0	1	0	1
aeky1238	1	0	0	1	1
birr1240	0	0	0	1	1
fipa1238	0	0	1	0	0
kaon1241	0	0	1	0	0
nama1268	0	0	1	0	0
nuku1260	1	1	1	0	0
bert1248	1	1	1	0	0
bomb1262	0	0	1	0	1
monz1249	0	0	1	0	1
tora1259	0	0	0	1	1
tere1279	0	1	0	0	1
maba1270	0	0	1	0	1
musg1254	0	0	1	0	0
noma1260	0	0	1	0	0
sham1280	0	0	1	0	1
balo1261	0	0	1	0	1
bare1276	0	0	1	0	1
buol1237	1	1	1	1	1
mbug1242	0	0	1	0	1
iqui1243	0	0	1	1	0
nort2724	0	0	1	0	1
sout2896	0	0	1	0	1
uppe1427	0	1	0	0	1
basa1282	0	0	1	1	1
eton1253	0	0	1	0	1
mele1250	0	0	1	0	1
tagw1240	0	0	0	1	1
weda1241	0	0	0	1	0
limo1248	1	1	0	0	1
yane1238	0	1	0	0	0
kuii1252	1	0	0	1	0
jede1239	1	0	1	0	1
rian1263	0	0	0	1	1
cong1236	0	0	1	0	1
kren1239	0	0	0	1	1
mono1273	0	0	0	1	1
pali1279	1	0	1	0	1
suba1238	0	0	1	0	0
wyan1247	0	0	1	0	0
tivv1240	0	0	1	0	1
east2694	1	1	0	0	1
yaka1269	0	0	1	0	1
anfi1235	0	0	0	1	1
binu1244	0	1	0	0	0
nalc1240	0	0	0	1	0
djeo1235	0	0	0	1	1
iama1237	0	0	0	1	0
tago1246	0	0	0	1	1
west2555	0	1	0	0	1
moro1287	0	1	1	0	0
naru1238	1	0	0	1	1
yukp1241	0	0	0	1	1
iwam1256	0	0	0	1	1
moro1289	1	0	0	1	0
osam1235	0	0	1	0	1
temb1272	0	0	1	0	1
ahin1234	0	1	0	0	1
bamb1269	0	0	0	1	1
labu1249	1	1	0	0	1
bata1293	0	1	1	0	0
wamb1258	1	1	1	1	0
aito1238	0	0	1	0	1
bamw1238	0	0	1	0	1
nias1242	1	1	0	0	1
bilu1245	0	0	1	1	0
bong1284	0	0	1	0	1
buru1303	0	0	1	0	1
mali1284	0	0	1	0	1
okoe1238	0	0	1	0	1
suku1272	0	1	0	0	0
tiwi1244	0	1	1	0	0
west2599	0	0	0	1	1
yeyi1239	0	0	1	0	0
amha1245	1	0	0	1	0
curr1243	0	1	0	0	0
guar1293	0	0	1	0	0
phak1238	0	0	1	0	1
sele1250	0	0	0	1	1
suab1238	0	0	1	1	0
taga1270	1	1	0	0	0
thai1261	0	0	1	0	1
tilu1238	1	0	0	1	0
yong1276	0	0	1	0	1
abui1241	0	0	0	1	1
bekw1242	0	0	1	0	1
biak1248	0	0	1	0	1
mian1256	0	0	0	1	0
seng1281	0	0	1	0	1
usan1239	0	0	0	1	1
yima1243	0	0	1	1	0
bamb1262	1	0	0	1	1
goon1238	1	0	0	1	0
hinu1240	1	0	0	1	0
hlai1239	0	0	1	0	1
kara1499	1	0	0	1	1
kris1246	0	0	0	1	1
laoo1244	0	0	1	0	1
liki1240	0	0	1	0	1
meri1244	1	0	0	1	1
muna1247	0	0	1	0	0
ngge1241	1	0	0	1	0
paun1241	0	0	1	0	0
puyu1239	1	1	0	0	1
qaua1234	0	0	1	0	1
tele1256	0	0	0	1	1
thay1249	1	1	1	1	0
tsou1248	1	1	0	0	1
uman1240	0	0	0	1	1
alam1246	1	0	1	1	0
kala1377	1	0	0	1	1
kurt1248	1	0	0	1	1
loba1239	0	0	1	0	1
meng1267	0	0	1	0	1
siro1249	0	0	0	1	1
warl1254	1	0	1	1	0
lito1235	0	0	1	0	1
murr1258	0	0	0	1	0
ocot1244	0	1	0	0	1
buna1278	0	0	1	1	1
hata1243	0	0	1	0	1
kalu1248	0	0	0	1	1
kaya1319	1	1	1	1	0
kobo1249	0	0	0	1	1
kora1294	0	0	0	1	0
koro1312	0	0	0	1	1
mach1267	0	1	0	0	0
meny1245	1	0	0	1	1
meya1236	0	0	1	0	1
midd1357	1	0	0	1	0
noma1263	0	1	0	0	0
nort2795	0	0	1	0	1
sout2741	0	0	1	0	1
tagi1241	1	0	0	1	1
tawa1275	0	0	0	1	1
tido1248	0	0	1	0	1
bouy1240	0	0	1	0	1
chig1238	0	0	1	0	1
gras1249	0	0	0	1	1
ngan1295	1	1	0	0	0
warl1256	1	0	0	1	0
yabe1254	0	0	1	0	1
asoa1238	0	0	1	0	1
bard1255	1	1	1	1	0
gang1267	1	0	1	0	0
gara1269	1	1	0	0	0
ilok1237	1	1	0	0	1
kama1367	0	0	0	1	1
kamo1255	0	0	0	1	1
kolp1236	0	0	1	0	1
lard1243	1	0	1	0	0
maon1241	0	0	1	0	1
mara1385	1	0	1	0	0
puoc1238	0	0	1	0	0
suen1241	0	0	0	1	1
tauy1241	1	0	0	1	1
wamb1259	0	0	0	1	1
bauz1241	1	0	0	1	0
dard1243	0	0	1	0	1
dera1245	1	0	0	1	0
east2379	1	0	0	1	1
gizr1240	1	0	0	1	0
yaga1260	0	0	0	1	0
idaa1241	0	1	1	0	1
nyaw1247	1	0	0	1	0
pras1239	1	0	0	1	1
rita1239	1	1	0	0	0
siwa1245	1	0	0	1	1
tafi1243	0	0	1	0	1
taki1248	0	0	0	1	1
aram1253	0	0	0	1	0
bela1260	0	1	1	0	1
east2563	0	0	1	0	1
kana1288	0	0	0	1	1
kima1246	0	0	0	1	1
mauw1238	0	0	0	1	1
sulk1246	0	0	1	0	1
yess1239	0	0	0	1	1
ambu1247	0	0	1	1	0
anem1249	0	0	1	0	1
asha1243	0	1	1	0	0
chac1249	1	0	0	1	1
djam1256	1	0	0	1	0
duna1248	0	0	0	1	1
haus1257	0	0	1	0	1
igna1246	0	1	0	0	0
imon1245	0	0	0	1	0
kelo1247	0	0	0	1	0
nucl1460	0	0	1	1	1
orya1242	0	0	1	1	0
yine1238	0	0	1	0	0
aben1249	1	1	0	0	1
buki1249	0	0	1	0	1
kima1244	1	1	0	0	1
loma1260	0	0	0	1	1
muss1246	0	0	1	0	0
nort2994	0	0	1	0	1
tain1253	1	0	0	1	1
nort2699	1	0	0	1	0
plat1254	1	1	0	0	1
rawa1267	0	0	0	1	1
sout2949	0	0	1	1	0
abau1245	1	0	0	1	1
bine1240	0	0	0	1	0
goli1247	0	0	0	1	1
band1340	0	0	1	0	1
bura1267	0	0	0	1	0
mend1268	0	0	0	1	0
siar1238	0	0	1	0	1
siwu1238	0	0	1	0	1
unea1237	0	0	1	0	0
nugu1242	0	0	1	0	1
wapi1253	0	0	1	0	1
wask1241	0	0	0	1	1
waur1244	1	0	1	0	0
bani1255	1	1	0	0	0
jjuu1238	0	0	1	1	1
nami1256	0	0	0	1	1
salt1242	0	0	0	1	1
sout2826	0	0	1	0	1
unaa1239	0	0	0	1	1
cebu1242	0	1	0	0	1
nucl1594	0	0	0	1	0
resi1247	0	0	0	1	1
west2564	0	0	1	0	1
benc1235	1	0	0	1	1
hala1252	0	0	1	0	1
naba1256	0	0	0	1	1
sooo1256	0	1	0	0	1
tega1236	0	0	0	1	1
chim1312	0	0	1	0	0
gari1256	1	1	0	0	0
gaaa1245	0	0	1	0	1
gala1264	0	0	1	0	1
maia1253	0	0	0	1	1
bolg1251	0	0	1	0	1
defa1248	1	0	0	1	1
ndom1245	0	0	0	1	1
kair1263	0	0	0	1	1
bann1247	0	0	1	0	0
sisi1250	0	0	1	0	1
giiw1236	0	0	1	0	1
lafo1243	0	0	1	0	1
geru1240	0	0	1	0	1
kaur1271	0	0	0	1	1
tere1278	1	0	0	1	1
yawa1261	0	0	1	0	1
dizi1235	1	0	0	1	1
maqu1238	0	0	0	1	1
qaqe1238	0	0	1	0	1
cham1318	0	1	0	0	0
mera1242	0	0	1	0	1
obom1235	0	1	0	0	1
naas1242	1	0	0	1	1
beel1236	0	0	1	0	1
ramo1244	0	0	1	0	1
pele1245	0	0	1	0	1
east2333	0	0	1	0	0
