Glottocode	Verb_final	Free_word_order	Nominal_case	Family_ID
area1240	0	1	1	Austronesian
axam1237	0	0	0	Austronesian
esto1258	0	0	1	Uralic
finn1318	0	0	1	Uralic
ingr1248	0	0	1	Uralic
kemb1249	0	0	0	Austronesian
lena1238	0	0	0	Austronesian
livv1243	0	0	1	Uralic
lule1254	0	1	1	Uralic
moks1248	0	1	1	Uralic
motl1237	0	0	0	Austronesian
nucl1301	1	0	1	Turkic
pite1240	0	1	1	Uralic
seme1247	0	1	1	Austroasiatic
sout2674	1	1	1	Uralic
supy1237	1	0	0	Atlantic-Congo
tami1289	1	1	1	Dravidian
tojo1241	0	0	0	Mayan
kare1335	0	0	1	Uralic
west2519	0	1	0	Austronesian
apma1240	0	0	0	Austronesian
arak1252	0	0	0	Austronesian
lezg1247	1	1	1	Nakh-Daghestanian
matu1261	1	1	0	Austronesian
ngan1291	1	1	1	Uralic
vure1239	0	0	0	Austronesian
yami1254	0	1	1	Austronesian
balu1257	0	0	0	Austronesian
bola1250	0	0	0	Austronesian
chuv1255	1	0	1	Turkic
emai1241	0	0	0	Atlantic-Congo
fore1265	1	0	1	Uralic
gayo1244	0	1	0	Austronesian
nort2690	1	0	1	Turkic
rapa1245	0	1	0	Austronesian
samo1305	0	1	0	Austronesian
toab1237	0	0	0	Austronesian
sout2679	0	0	1	Uralic
wola1242	1	0	1	Ta-Ne-Omotic
achi1257	0	0	0	Austronesian
aheu1239	0	1	0	Austroasiatic
futu1245	0	0	0	Austronesian
ludi1246	0	0	1	Uralic
mala1464	1	1	1	Dravidian
meke1243	1	1	0	Austronesian
njan1240	0	0	0	Atlantic-Congo
nyah1250	0	1	0	Austroasiatic
saar1237	0	0	0	Austronesian
seim1238	0	0	0	Austronesian
sina1266	1	1	0	Austronesian
skol1241	1	1	1	Uralic
tika1246	0	0	0	Atlantic-Congo
tuwa1243	0	0	0	Austronesian
unua1237	0	0	0	Austronesian
yoga1237	0	0	0	Austronesian
buga1250	0	0	0	Austronesian
kamm1249	0	0	0	Atlantic-Congo
koro1298	0	0	0	Atlantic-Congo
kwai1243	0	0	0	Austronesian
maor1246	0	0	0	Austronesian
nese1235	0	0	1	Austronesian
nort2684	0	1	0	Austroasiatic
nucl1305	1	1	1	Dravidian
kuma1276	0	1	0	Austronesian
ruka1240	0	1	0	Austronesian
tuwu1238	0	0	0	Atlantic-Congo
vera1241	0	0	0	Austronesian
woii1237	0	0	0	Austronesian
bafu1246	0	0	0	Atlantic-Congo
buga1247	0	0	0	Austroasiatic
cent1992	0	0	1	Austroasiatic
digo1243	0	1	0	Atlantic-Congo
erzy1239	0	0	1	Uralic
east2328	1	0	1	Uralic
gyel1242	0	0	0	Atlantic-Congo
koko1269	0	1	0	Austronesian
mund1325	0	0	1	Atlantic-Congo
nene1249	1	1	1	Uralic
selk1253	1	1	1	Uralic
stan1306	0	0	0	Austronesian
west2396	0	0	0	Austroasiatic
yaku1245	1	0	1	Turkic
dege1246	0	0	0	Atlantic-Congo
dhao1237	0	1	0	Austronesian
fonn1241	0	1	0	Atlantic-Congo
hung1274	1	1	1	Uralic
lewo1244	0	1	0	Austronesian
malo1243	0	0	1	Austronesian
mual1241	0	1	0	Austronesian
nort2885	0	1	1	Austronesian
wall1257	0	1	0	Austronesian
west2516	0	0	0	Austronesian
xara1244	0	0	0	Austronesian
yuca1254	0	0	0	Mayan
cham1312	0	1	0	Austronesian
gaga1249	0	1	1	Turkic
iban1264	0	0	0	Austronesian
itza1241	0	0	0	Mayan
kach1284	1	0	1	Ta-Ne-Omotic
kosr1238	0	0	0	Austronesian
maee1241	0	0	0	Austronesian
noon1242	0	0	0	Atlantic-Congo
nort2697	1	0	1	Turkic
nucl1417	0	0	0	Atlantic-Congo
paco1243	0	1	0	Austroasiatic
papa1265	0	1	0	Austronesian
popt1235	0	0	0	Mayan
sais1237	0	1	1	Austronesian
tahi1242	0	0	0	Austronesian
tiri1258	0	1	1	Austronesian
urip1239	0	1	0	Austronesian
veps1250	0	1	1	Uralic
wawa1246	0	0	0	Atlantic-Congo
aoua1234	0	0	0	Tai-Kadai
cent2314	0	0	0	Austroasiatic
daka1243	0	0	0	Austronesian
east2447	0	1	0	Austronesian
fiji1243	0	1	0	Austronesian
haaa1252	0	1	0	Atlantic-Congo
here1253	0	0	0	Atlantic-Congo
juku1254	0	0	1	Atlantic-Congo
keoo1238	0	0	0	Austronesian
khan1278	0	0	0	Atlantic-Congo
kili1267	0	0	0	Austronesian
lala1268	1	0	0	Austronesian
patp1243	0	0	0	Austronesian
saka1289	0	0	0	Austronesian
dusn1237	0	0	0	Austronesian
fili1244	0	0	0	Austronesian
kagu1239	0	0	0	Atlantic-Congo
komi1268	0	1	1	Uralic
kwar1239	0	0	0	Austronesian
mudu1242	0	0	0	Austronesian
paas1238	0	0	0	Atlantic-Congo
sela1259	0	0	0	Austronesian
surg1248	1	0	0	Uralic
tief1244	0	0	0	Atlantic-Congo
waim1251	1	1	0	Austronesian
akoo1248	0	0	0	Atlantic-Congo
bulo1242	0	1	0	Austroasiatic
cent2322	1	0	1	Uralic
litz1237	0	0	0	Austronesian
loni1238	0	0	0	Austronesian
madi1260	0	0	0	Central Sudanic
moba1244	0	0	0	Atlantic-Congo
nyan1307	0	1	0	Atlantic-Congo
para1301	0	0	0	Austroasiatic
pend1242	0	1	1	Austronesian
tson1249	0	0	0	Atlantic-Congo
west2466	1	0	0	Atlantic-Congo
arta1239	0	1	1	Austronesian
bebe1248	0	1	0	Atlantic-Congo
bush1247	0	0	0	Atlantic-Congo
carn1240	0	0	0	Austroasiatic
irar1238	0	0	0	Austronesian
mund1328	0	0	0	Atlantic-Congo
pala1344	0	0	0	Austronesian
pile1238	0	0	0	Austronesian
ruch1235	0	0	0	Austroasiatic
sout2807	0	0	0	Atlantic-Congo
taji1246	0	1	0	Austronesian
toor1238	0	0	0	Atlantic-Congo
tutu1241	0	0	0	Austronesian
bemb1257	0	0	1	Atlantic-Congo
bugi1244	0	1	0	Austronesian
caom1238	0	0	0	Tai-Kadai
gamo1243	1	0	1	Ta-Ne-Omotic
hano1246	0	0	0	Austronesian
kaqc1270	0	0	0	Mayan
katb1237	0	0	0	Austronesian
mbul1263	0	0	0	Austronesian
mere1242	0	0	0	Austronesian
naue1237	0	0	0	Austronesian
pnar1238	0	0	0	Austroasiatic
tsat1238	0	0	0	Austronesian
umes1235	1	1	1	Uralic
biha1246	0	1	0	Austronesian
east2443	0	0	0	Austronesian
irul1243	1	1	1	Dravidian
koda1255	1	1	1	Dravidian
koho1244	0	0	0	Austroasiatic
lama1277	0	0	0	Austronesian
male1284	1	1	1	Ta-Ne-Omotic
mlab1235	0	1	0	Austroasiatic
nawu1242	0	0	0	Atlantic-Congo
niua1240	0	0	0	Austronesian
pohn1238	0	0	0	Austronesian
ruma1248	0	1	0	Austroasiatic
shon1251	0	0	0	Atlantic-Congo
woli1241	0	1	0	Austronesian
yems1235	1	0	1	Ta-Ne-Omotic
gela1263	0	1	0	Austronesian
hawa1245	0	0	0	Austronesian
jamb1236	0	1	0	Austronesian
komi1269	0	1	1	Uralic
mokl1243	0	1	0	Austronesian
sema1265	0	1	0	Austroasiatic
soga1242	0	1	0	Atlantic-Congo
sons1242	0	1	0	Austronesian
turk1304	1	0	1	Turkic
abar1238	0	0	0	Atlantic-Congo
anei1239	0	0	1	Austronesian
cemu1238	0	0	0	Austronesian
chuw1238	0	1	0	Atlantic-Congo
gube1234	0	0	0	Atlantic-Congo
kank1243	0	0	1	Austronesian
kich1262	0	0	0	Mayan
kove1237	0	0	0	Austronesian
lave1248	0	0	0	Austroasiatic
mokp1239	0	1	0	Atlantic-Congo
ndam1239	0	1	0	Atlantic-Congo
ngit1239	0	1	0	Central Sudanic
nyal1254	0	0	0	Austronesian
nyor1246	0	0	0	Atlantic-Congo
sout2857	0	0	0	Austronesian
teke1275	0	1	0	Atlantic-Congo
wotu1240	0	1	0	Austronesian
beka1241	0	1	0	Austronesian
boun1243	0	1	0	Atlantic-Congo
crim1257	1	0	1	Turkic
dana1252	0	0	0	Austroasiatic
idun1242	1	1	0	Austronesian
mamm1241	0	0	0	Mayan
saur1249	1	1	1	Dravidian
taus1251	0	0	0	Austronesian
tuva1244	0	1	0	Austronesian
west2560	0	1	0	Austronesian
bala1315	0	1	0	Austronesian
cent2292	0	1	0	Austronesian
gade1242	0	0	0	Atlantic-Congo
iaai1238	0	0	0	Austronesian
kolb1240	0	0	0	Atlantic-Congo
lote1237	0	0	0	Austronesian
mini1251	0	0	0	Austronesian
nort2845	0	0	0	Austronesian
seda1262	0	1	0	Austroasiatic
swah1253	0	0	0	Atlantic-Congo
toke1240	0	1	1	Austronesian
tswa1253	0	0	0	Atlantic-Congo
tung1290	0	0	0	Austronesian
west2635	0	0	0	Mayan
yaka1277	0	0	1	Austronesian
bini1246	0	1	0	Atlantic-Congo
cent1989	0	1	0	Austroasiatic
dagb1246	0	0	0	Atlantic-Congo
hone1235	0	0	0	Atlantic-Congo
iban1267	0	0	0	Austronesian
kara1486	0	0	0	Austronesian
kusa1251	0	0	0	Austronesian
lugu1238	0	1	0	Atlantic-Congo
mand1440	0	0	0	Austronesian
mati1250	0	0	1	Austronesian
ndog1248	0	0	0	Atlantic-Congo
sout2782	0	1	0	Atlantic-Congo
tief1242	0	1	0	Atlantic-Congo
ulit1238	0	0	0	Austronesian
band1344	0	0	0	Atlantic-Congo
bari1286	0	0	0	Austronesian
boro1277	1	0	1	Ta-Ne-Omotic
guma1254	1	0	0	Austronesian
hoav1238	0	0	0	Austronesian
huas1242	0	0	0	Mayan
ibat1238	0	1	0	Austronesian
ivat1242	0	1	1	Austronesian
kwam1252	0	0	0	Austronesian
louu1245	0	0	0	Austronesian
mada1285	0	0	0	Austronesian
mais1250	1	0	0	Austronesian
qanj1241	0	0	0	Mayan
sooo1254	0	0	0	Austroasiatic
waig1244	0	0	0	Austronesian
biao1253	0	0	0	Tai-Kadai
boto1242	0	1	1	Austronesian
huuu1240	0	1	0	Austroasiatic
kamb1299	0	1	0	Austronesian
koor1239	1	1	1	Ta-Ne-Omotic
mana1295	1	0	0	Austronesian
seke1241	0	0	0	Austronesian
shor1247	1	0	1	Turkic
sioo1240	0	0	0	Austronesian
tuka1248	0	1	0	Austronesian
cent2084	0	1	0	Austronesian
dobu1241	1	1	0	Austronesian
fare1241	0	0	0	Atlantic-Congo
keap1239	1	1	1	Austronesian
kuan1248	0	0	0	Austronesian
kuyy1240	0	0	0	Austroasiatic
mara1399	0	0	0	Austronesian
nali1244	0	0	0	Austronesian
port1285	0	0	0	Austronesian
tbol1240	0	0	0	Austronesian
bafi1243	0	1	0	Atlantic-Congo
dumb1241	0	0	0	Austronesian
kamb1297	0	1	0	Atlantic-Congo
kuan1247	0	0	0	Atlantic-Congo
lewo1242	0	0	0	Austronesian
luan1263	0	0	0	Austronesian
malu1245	0	0	0	Austronesian
mang1401	0	0	0	Austronesian
mapo1242	0	0	0	Austronesian
mbay1241	0	0	0	Central Sudanic
mpot1240	0	1	0	Atlantic-Congo
naka1262	0	0	0	Austronesian
naur1243	0	1	0	Austronesian
raro1241	0	1	0	Austronesian
sika1261	0	1	0	Austronesian
tigo1236	0	0	0	Atlantic-Congo
tita1241	0	0	0	Austronesian
ayiw1239	0	1	0	Austronesian
cici1237	0	0	0	Atlantic-Congo
hali1244	0	0	0	Austronesian
leng1259	0	1	0	Austronesian
logo1259	0	0	0	Central Sudanic
luya1241	0	0	0	Atlantic-Congo
masb1238	0	1	0	Austronesian
noon1243	0	0	0	Atlantic-Congo
reng1252	0	1	0	Austroasiatic
sabu1255	0	1	0	Austronesian
samb1305	0	1	0	Atlantic-Congo
shol1240	1	1	1	Dravidian
sout3261	0	1	1	Nakh-Daghestanian
term1237	0	0	0	Austronesian
tong1325	0	1	0	Austronesian
chuj1250	0	0	0	Mayan
gilb1244	0	0	0	Austronesian
makc1235	0	1	0	Tai-Kadai
moke1242	0	1	0	Austronesian
moki1238	0	1	0	Austronesian
tiga1245	0	0	0	Austronesian
turk1303	0	0	1	Turkic
zays1235	1	0	1	Ta-Ne-Omotic
dido1241	1	1	1	Nakh-Daghestanian
hunz1247	1	0	1	Nakh-Daghestanian
kele1259	0	0	0	Austronesian
khak1248	1	0	1	Turkic
kolc1235	0	0	0	Atlantic-Congo
nucl1240	0	0	0	Atlantic-Congo
pagi1243	0	0	0	Atlantic-Congo
paul1238	0	0	0	Austronesian
tekt1235	0	0	0	Mayan
thao1240	0	1	0	Austronesian
ware1253	0	0	0	Austronesian
yape1248	0	0	0	Austronesian
blab1237	0	1	0	Austronesian
cent1990	0	0	0	Austroasiatic
gofa1235	1	0	1	Ta-Ne-Omotic
ibal1244	0	0	1	Austronesian
kgal1244	0	0	0	Atlantic-Congo
khva1239	1	0	1	Nakh-Daghestanian
luva1239	0	1	0	Atlantic-Congo
mato1252	0	0	0	Austronesian
neng1238	0	1	0	Austronesian
pang1290	0	0	0	Austronesian
urav1235	0	0	0	Austronesian
voti1245	0	0	1	Uralic
warj1242	0	1	0	Austroasiatic
alor1247	0	0	0	Austronesian
bata1289	0	0	0	Austronesian
chec1245	1	0	1	Nakh-Daghestanian
iliu1237	0	0	0	Austronesian
khan1274	0	0	0	Austroasiatic
makh1264	0	0	0	Atlantic-Congo
mamb1294	0	0	0	Atlantic-Congo
mang1405	0	1	0	Austronesian
mayo1261	0	0	0	Atlantic-Congo
ngba1285	0	0	0	Atlantic-Congo
taku1257	0	0	0	Austronesian
tugu1245	0	0	0	Austronesian
bagi1246	0	0	0	Central Sudanic
bali1278	0	0	0	Austronesian
nort2702	1	1	1	Dravidian
chek1238	0	0	0	Austronesian
kafa1242	1	0	0	Ta-Ne-Omotic
khmu1256	0	0	0	Austroasiatic
lach1248	0	0	0	Tai-Kadai
mari1426	0	0	1	Austronesian
nort2671	0	1	1	Uralic
pang1287	0	0	0	Atlantic-Congo
rade1240	0	0	0	Austronesian
shwe1236	0	0	0	Austroasiatic
urak1238	0	0	0	Austronesian
whit1269	0	0	0	Austronesian
boly1239	0	0	0	Austroasiatic
chra1242	0	0	0	Austroasiatic
ingu1240	1	0	1	Nakh-Daghestanian
kaba1281	0	0	0	Central Sudanic
mopa1243	0	0	0	Mayan
rata1244	0	1	1	Austronesian
siee1239	0	0	0	Austronesian
sout2869	0	0	0	Austronesian
timn1235	0	1	0	Atlantic-Congo
adon1237	0	0	0	Austronesian
baro1253	0	0	0	Austronesian
bull1247	0	1	0	Atlantic-Congo
